score_decile,number_of_games,mean_model_priority_score,actual_high_engagement_rate,actual_high_engagement_count
1,300,0.8342894748438489,0.8533333333333334,256
2,300,0.6722690598092991,0.5233333333333333,157
3,300,0.5477864263143674,0.3466666666666667,104
4,300,0.48039419275754236,0.3333333333333333,100
5,300,0.4202681721511655,0.20666666666666667,62
6,300,0.3650508209257315,0.11666666666666667,35
7,300,0.29991823591701317,0.07,21
8,300,0.21200740830848722,0.04,12
9,300,0.11858453943220819,0.01,3
10,300,0.04213043635734928,0.0,0
